ibge_municipio,ubs_in_operational_source,active_ubs_cnes_st,ubs_with_recent_sia_production,active_ubs_with_recent_sia_production,sia_record_rows,sia_quantity_all_procedures,sia_approved_value,sia_competence_observations,populacao_residente,sia_reporting_coverage_pct,sia_quantity_all_procedures_per_1000,sia_quantity_per_reporting_ubs,production_interpretation,consultation_specific_status
311900,4,4,1,1,408,2649.0,16612.679999999986,1,3200.0,25.0,827.8125,2649.0,all_outpatient_procedures_reporting_proxy,not_yet_filtered_by_sigtap
311910,10,9,0,0,0,0.0,0.0,0,23532.0,0.0,0.0,,all_outpatient_procedures_reporting_proxy,not_yet_filtered_by_sigtap
311920,6,6,2,2,846,3777.0,20920.470000000383,2,10884.0,33.33333333333333,347.0231532524807,1888.5,all_outpatient_procedures_reporting_proxy,not_yet_filtered_by_sigtap
311930,15,13,1,1,32,32.0,4725.0,1,28894.0,7.6923076923076925,1.107496366027549,32.0,all_outpatient_procedures_reporting_proxy,not_yet_filtered_by_sigtap
311940,19,17,0,0,0,0.0,0.0,0,104736.0,0.0,0.0,,all_outpatient_procedures_reporting_proxy,not_yet_filtered_by_sigtap
311950,3,3,2,2,196,2779.0,18369.98999999999,2,8200.0,66.66666666666666,338.9024390243903,1389.5,all_outpatient_procedures_reporting_proxy,not_yet_filtered_by_sigtap
311960,1,1,1,1,1048,5822.0,21742.42000000056,1,2762.0,100.0,2107.89283128168,5822.0,all_outpatient_procedures_reporting_proxy,not_yet_filtered_by_sigtap
311970,2,2,0,0,0,0.0,0.0,0,3486.0,0.0,0.0,,all_outpatient_procedures_reporting_proxy,not_yet_filtered_by_sigtap
311980,2,2,2,2,100,494.0,7505.4,2,2960.0,100.0,166.89189189189187,247.0,all_outpatient_procedures_reporting_proxy,not_yet_filtered_by_sigtap
311990,1,1,1,1,636,636.0,3764.299999999956,1,4272.0,100.0,148.87640449438203,636.0,all_outpatient_procedures_reporting_proxy,not_yet_filtered_by_sigtap
311995,2,2,0,0,0,0.0,0.0,0,6133.0,0.0,0.0,,all_outpatient_procedures_reporting_proxy,not_yet_filtered_by_sigtap
312000,1,1,1,1,1077,2316.0,11487.14999999993,1,2875.0,100.0,805.5652173913044,2316.0,all_outpatient_procedures_reporting_proxy,not_yet_filtered_by_sigtap
312010,3,2,0,0,0,0.0,0.0,0,4245.0,0.0,0.0,,all_outpatient_procedures_reporting_proxy,not_yet_filtered_by_sigtap
312015,4,3,0,0,0,0.0,0.0,0,5265.0,0.0,0.0,,all_outpatient_procedures_reporting_proxy,not_yet_filtered_by_sigtap
312020,6,6,0,0,0,0.0,0.0,0,12197.0,0.0,0.0,,all_outpatient_procedures_reporting_proxy,not_yet_filtered_by_sigtap
312030,2,2,1,1,33,619.0,1730.72,1,5121.0,50.0,120.87482913493459,619.0,all_outpatient_procedures_reporting_proxy,not_yet_filtered_by_sigtap
312040,1,1,0,0,0,0.0,0.0,0,4667.0,0.0,0.0,,all_outpatient_procedures_reporting_proxy,not_yet_filtered_by_sigtap
312050,4,4,4,4,4,1250.0,0.0,4,10374.0,100.0,120.49354154617313,312.5,all_outpatient_procedures_reporting_proxy,not_yet_filtered_by_sigtap
312060,2,1,0,0,0,0.0,0.0,0,5434.0,0.0,0.0,,all_outpatient_procedures_reporting_proxy,not_yet_filtered_by_sigtap
312070,4,4,2,2,50,123.0,5438.47,2,3521.0,50.0,34.9332575972735,61.5,all_outpatient_procedures_reporting_proxy,not_yet_filtered_by_sigtap
312080,7,6,1,1,20,20.0,4500.0,1,15362.0,16.666666666666664,1.3019138133055592,20.0,all_outpatient_procedures_reporting_proxy,not_yet_filtered_by_sigtap
312083,3,3,2,2,530,4071.0,30876.559999999736,2,3983.0,66.66666666666666,1022.093899071052,2035.5,all_outpatient_procedures_reporting_proxy,not_yet_filtered_by_sigtap
312087,6,5,2,2,85,3247.0,13339.990000000007,2,7406.0,40.0,438.4283013772617,1623.5,all_outpatient_procedures_reporting_proxy,not_yet_filtered_by_sigtap
312090,30,29,0,0,0,0.0,0.0,0,80665.0,0.0,0.0,,all_outpatient_procedures_reporting_proxy,not_yet_filtered_by_sigtap
312110,7,4,1,1,233,2685.0,7734.459999999995,1,7952.0,25.0,337.65090543259555,2685.0,all_outpatient_procedures_reporting_proxy,not_yet_filtered_by_sigtap
312120,8,8,1,1,1,1469.0,0.0,1,8393.0,12.5,175.02680805433098,1469.0,all_outpatient_procedures_reporting_proxy,not_yet_filtered_by_sigtap
312125,3,3,0,0,0,0.0,0.0,0,10494.0,0.0,0.0,,all_outpatient_procedures_reporting_proxy,not_yet_filtered_by_sigtap
312130,2,2,0,0,0,0.0,0.0,0,4928.0,0.0,0.0,,all_outpatient_procedures_reporting_proxy,not_yet_filtered_by_sigtap
312140,5,5,4,4,8143,19999.0,0.0,4,7653.0,80.0,2613.2235724552465,4999.75,all_outpatient_procedures_reporting_proxy,not_yet_filtered_by_sigtap
312150,2,2,2,2,1360,4326.0,23126.59000000044,2,2994.0,100.0,1444.8897795591183,2163.0,all_outpatient_procedures_reporting_proxy,not_yet_filtered_by_sigtap
