origin_id,ibge_municipio_7,municipio_nome,uf_sigla,origin_latitude,origin_longitude,origin_population,origin_population_status,origin_source,origin_granularity,source_year,representative_point_method,precision_status,sector_situation
520005005000035,5200050,Abadia de Goiás,52,-16.767094090739604,-49.42247117371854,668,available,IBGE Censo 2022 setores: malha setorial + agregado básico V0001,census_sector,2022,largest_polygon_ring_centroid_from_sector_shapefile,intramunicipal_population_origins_loaded,Urbana
520005005000038,5200050,Abadia de Goiás,52,-16.813147403414032,-49.42405309257015,203,available,IBGE Censo 2022 setores: malha setorial + agregado básico V0001,census_sector,2022,largest_polygon_ring_centroid_from_sector_shapefile,intramunicipal_population_origins_loaded,Rural
520005005000039,5200050,Abadia de Goiás,52,-16.776860172939774,-49.431827089382196,654,available,IBGE Censo 2022 setores: malha setorial + agregado básico V0001,census_sector,2022,largest_polygon_ring_centroid_from_sector_shapefile,intramunicipal_population_origins_loaded,Urbana
520005005000041,5200050,Abadia de Goiás,52,-16.8323458351386,-49.39060245448583,1080,available,IBGE Censo 2022 setores: malha setorial + agregado básico V0001,census_sector,2022,largest_polygon_ring_centroid_from_sector_shapefile,intramunicipal_population_origins_loaded,Urbana
520005005000042,5200050,Abadia de Goiás,52,-16.79411323028548,-49.40073839896821,286,available,IBGE Censo 2022 setores: malha setorial + agregado básico V0001,census_sector,2022,largest_polygon_ring_centroid_from_sector_shapefile,intramunicipal_population_origins_loaded,Urbana
520005005000043,5200050,Abadia de Goiás,52,-16.794556525173267,-49.411116021609395,145,available,IBGE Censo 2022 setores: malha setorial + agregado básico V0001,census_sector,2022,largest_polygon_ring_centroid_from_sector_shapefile,intramunicipal_population_origins_loaded,Urbana
520005005000044,5200050,Abadia de Goiás,52,-16.79821059581457,-49.40206821330715,383,available,IBGE Censo 2022 setores: malha setorial + agregado básico V0001,census_sector,2022,largest_polygon_ring_centroid_from_sector_shapefile,intramunicipal_population_origins_loaded,Urbana
520005005000045,5200050,Abadia de Goiás,52,-16.804815944711045,-49.393978145094096,490,available,IBGE Censo 2022 setores: malha setorial + agregado básico V0001,census_sector,2022,largest_polygon_ring_centroid_from_sector_shapefile,intramunicipal_population_origins_loaded,Urbana
520005005000046,5200050,Abadia de Goiás,52,-16.810673114377764,-49.39261400791923,105,available,IBGE Censo 2022 setores: malha setorial + agregado básico V0001,census_sector,2022,largest_polygon_ring_centroid_from_sector_shapefile,intramunicipal_population_origins_loaded,Urbana
520005005000047,5200050,Abadia de Goiás,52,-16.82077373489384,-49.39570784831676,1117,available,IBGE Censo 2022 setores: malha setorial + agregado básico V0001,census_sector,2022,largest_polygon_ring_centroid_from_sector_shapefile,intramunicipal_population_origins_loaded,Urbana
520005005000048,5200050,Abadia de Goiás,52,-16.82671254408601,-49.394720326262885,76,available,IBGE Censo 2022 setores: malha setorial + agregado básico V0001,census_sector,2022,largest_polygon_ring_centroid_from_sector_shapefile,intramunicipal_population_origins_loaded,Urbana
520005005000049,5200050,Abadia de Goiás,52,-16.83138538188305,-49.40204654784618,350,available,IBGE Censo 2022 setores: malha setorial + agregado básico V0001,census_sector,2022,largest_polygon_ring_centroid_from_sector_shapefile,intramunicipal_population_origins_loaded,Urbana
520005005000050,5200050,Abadia de Goiás,52,-16.839071885859106,-49.40030777543711,263,available,IBGE Censo 2022 setores: malha setorial + agregado básico V0001,census_sector,2022,largest_polygon_ring_centroid_from_sector_shapefile,intramunicipal_population_origins_loaded,Urbana
520010005000001,5200100,Abadiânia,52,-16.186622614470657,-48.71497105444937,712,available,IBGE Censo 2022 setores: malha setorial + agregado básico V0001,census_sector,2022,largest_polygon_ring_centroid_from_sector_shapefile,intramunicipal_population_origins_loaded,Urbana
520010005000002,5200100,Abadiânia,52,-16.1921051672625,-48.714803720256235,778,available,IBGE Censo 2022 setores: malha setorial + agregado básico V0001,census_sector,2022,largest_polygon_ring_centroid_from_sector_shapefile,intramunicipal_population_origins_loaded,Urbana
520010005000003,5200100,Abadiânia,52,-16.196736594469094,-48.71067410055842,816,available,IBGE Censo 2022 setores: malha setorial + agregado básico V0001,census_sector,2022,largest_polygon_ring_centroid_from_sector_shapefile,intramunicipal_population_origins_loaded,Urbana
520010005000004,5200100,Abadiânia,52,-16.199580991719284,-48.70867521763047,613,available,IBGE Censo 2022 setores: malha setorial + agregado básico V0001,census_sector,2022,largest_polygon_ring_centroid_from_sector_shapefile,intramunicipal_population_origins_loaded,Urbana
520010005000006,5200100,Abadiânia,52,-16.209017264133134,-48.70655939797684,934,available,IBGE Censo 2022 setores: malha setorial + agregado básico V0001,census_sector,2022,largest_polygon_ring_centroid_from_sector_shapefile,intramunicipal_population_origins_loaded,Urbana
520010005000007,5200100,Abadiânia,52,-16.185967626561794,-48.707921364029524,822,available,IBGE Censo 2022 setores: malha setorial + agregado básico V0001,census_sector,2022,largest_polygon_ring_centroid_from_sector_shapefile,intramunicipal_population_origins_loaded,Urbana
520010005000008,5200100,Abadiânia,52,-16.19231149637122,-48.70802350688323,533,available,IBGE Censo 2022 setores: malha setorial + agregado básico V0001,census_sector,2022,largest_polygon_ring_centroid_from_sector_shapefile,intramunicipal_population_origins_loaded,Urbana
520010005000009,5200100,Abadiânia,52,-16.193751506543887,-48.702538523901836,857,available,IBGE Censo 2022 setores: malha setorial + agregado básico V0001,census_sector,2022,largest_polygon_ring_centroid_from_sector_shapefile,intramunicipal_population_origins_loaded,Urbana
520010005000010,5200100,Abadiânia,52,-16.197820430798892,-48.70315257271274,601,available,IBGE Censo 2022 setores: malha setorial + agregado básico V0001,census_sector,2022,largest_polygon_ring_centroid_from_sector_shapefile,intramunicipal_population_origins_loaded,Urbana
520010005000011,5200100,Abadiânia,52,-16.201754753840518,-48.70315879741616,922,available,IBGE Censo 2022 setores: malha setorial + agregado básico V0001,census_sector,2022,largest_polygon_ring_centroid_from_sector_shapefile,intramunicipal_population_origins_loaded,Urbana
520010005000012,5200100,Abadiânia,52,-16.213480061207257,-48.786375653514476,486,available,IBGE Censo 2022 setores: malha setorial + agregado básico V0001,census_sector,2022,largest_polygon_ring_centroid_from_sector_shapefile,intramunicipal_population_origins_loaded,Rural
520010005000014,5200100,Abadiânia,52,-16.157117312091728,-48.70734465179107,353,available,IBGE Censo 2022 setores: malha setorial + agregado básico V0001,census_sector,2022,largest_polygon_ring_centroid_from_sector_shapefile,intramunicipal_population_origins_loaded,Rural
520010005000018,5200100,Abadiânia,52,-16.26315259759009,-48.638652587388414,301,available,IBGE Censo 2022 setores: malha setorial + agregado básico V0001,census_sector,2022,largest_polygon_ring_centroid_from_sector_shapefile,intramunicipal_population_origins_loaded,Rural
520010005000019,5200100,Abadiânia,52,-16.250929071762737,-48.72400502780299,344,available,IBGE Censo 2022 setores: malha setorial + agregado básico V0001,census_sector,2022,largest_polygon_ring_centroid_from_sector_shapefile,intramunicipal_population_origins_loaded,Rural
520010005000020,5200100,Abadiânia,52,-16.208393156147068,-48.70346633072005,574,available,IBGE Censo 2022 setores: malha setorial + agregado básico V0001,census_sector,2022,largest_polygon_ring_centroid_from_sector_shapefile,intramunicipal_population_origins_loaded,Urbana
520010005000021,5200100,Abadiânia,52,-16.18859940708939,-48.72436886514993,567,available,IBGE Censo 2022 setores: malha setorial + agregado básico V0001,census_sector,2022,largest_polygon_ring_centroid_from_sector_shapefile,intramunicipal_population_origins_loaded,Urbana
520010005000022,5200100,Abadiânia,52,-16.181019563714404,-48.728536823612195,119,available,IBGE Censo 2022 setores: malha setorial + agregado básico V0001,census_sector,2022,largest_polygon_ring_centroid_from_sector_shapefile,intramunicipal_population_origins_loaded,Urbana
520010005000023,5200100,Abadiânia,52,-16.19325283685356,-48.71178875670049,650,available,IBGE Censo 2022 setores: malha setorial + agregado básico V0001,census_sector,2022,largest_polygon_ring_centroid_from_sector_shapefile,intramunicipal_population_origins_loaded,Urbana
520010005000024,5200100,Abadiânia,52,-16.271499119824373,-48.77862363597692,186,available,IBGE Censo 2022 setores: malha setorial + agregado básico V0001,census_sector,2022,largest_polygon_ring_centroid_from_sector_shapefile,intramunicipal_population_origins_loaded,Urbana
520010005000025,5200100,Abadiânia,52,-16.210513287868444,-48.69249424118455,86,available,IBGE Censo 2022 setores: malha setorial + agregado básico V0001,census_sector,2022,largest_polygon_ring_centroid_from_sector_shapefile,intramunicipal_population_origins_loaded,Rural
520010005000026,5200100,Abadiânia,52,-16.203135647854527,-48.708688137339344,868,available,IBGE Censo 2022 setores: malha setorial + agregado básico V0001,census_sector,2022,largest_polygon_ring_centroid_from_sector_shapefile,intramunicipal_population_origins_loaded,Urbana
520010005000027,5200100,Abadiânia,52,-16.205448158534953,-48.71061001617497,499,available,IBGE Censo 2022 setores: malha setorial + agregado básico V0001,census_sector,2022,largest_polygon_ring_centroid_from_sector_shapefile,intramunicipal_population_origins_loaded,Urbana
520010005000028,5200100,Abadiânia,52,-16.233731621203496,-48.49480558695201,200,available,IBGE Censo 2022 setores: malha setorial + agregado básico V0001,census_sector,2022,largest_polygon_ring_centroid_from_sector_shapefile,intramunicipal_population_origins_loaded,Rural
520010005000029,5200100,Abadiânia,52,-16.276985414614874,-48.451441455928645,50,available,IBGE Censo 2022 setores: malha setorial + agregado básico V0001,census_sector,2022,largest_polygon_ring_centroid_from_sector_shapefile,intramunicipal_population_origins_loaded,Urbana
520010005000030,5200100,Abadiânia,52,-16.249740319313236,-48.44142368495874,9,available,IBGE Censo 2022 setores: malha setorial + agregado básico V0001,census_sector,2022,largest_polygon_ring_centroid_from_sector_shapefile,intramunicipal_population_origins_loaded,Urbana
520010005000031,5200100,Abadiânia,52,-16.21136245260584,-48.46830403457475,15,available,IBGE Censo 2022 setores: malha setorial + agregado básico V0001,census_sector,2022,largest_polygon_ring_centroid_from_sector_shapefile,intramunicipal_population_origins_loaded,Urbana
520010005000032,5200100,Abadiânia,52,-16.285605975319694,-48.48424224350169,43,available,IBGE Censo 2022 setores: malha setorial + agregado básico V0001,census_sector,2022,largest_polygon_ring_centroid_from_sector_shapefile,intramunicipal_population_origins_loaded,Urbana
520010005000033,5200100,Abadiânia,52,-16.283272599504194,-48.47593309346793,18,available,IBGE Censo 2022 setores: malha setorial + agregado básico V0001,census_sector,2022,largest_polygon_ring_centroid_from_sector_shapefile,intramunicipal_population_origins_loaded,Urbana
520010005000034,5200100,Abadiânia,52,-16.283065176685263,-48.46673067790105,15,available,IBGE Censo 2022 setores: malha setorial + agregado básico V0001,census_sector,2022,largest_polygon_ring_centroid_from_sector_shapefile,intramunicipal_population_origins_loaded,Urbana
520010005000036,5200100,Abadiânia,52,-16.280902958925907,-48.5522953899355,278,available,IBGE Censo 2022 setores: malha setorial + agregado básico V0001,census_sector,2022,largest_polygon_ring_centroid_from_sector_shapefile,intramunicipal_population_origins_loaded,Rural
520010005000037,5200100,Abadiânia,52,-16.30008442052764,-48.500200874767565,26,available,IBGE Censo 2022 setores: malha setorial + agregado básico V0001,census_sector,2022,largest_polygon_ring_centroid_from_sector_shapefile,intramunicipal_population_origins_loaded,Urbana
520010005000038,5200100,Abadiânia,52,-16.200990677810477,-48.556560733500085,79,available,IBGE Censo 2022 setores: malha setorial + agregado básico V0001,census_sector,2022,largest_polygon_ring_centroid_from_sector_shapefile,intramunicipal_population_origins_loaded,Rural
520010005000039,5200100,Abadiânia,52,-16.18460719521155,-48.58550461629876,222,available,IBGE Censo 2022 setores: malha setorial + agregado básico V0001,census_sector,2022,largest_polygon_ring_centroid_from_sector_shapefile,intramunicipal_population_origins_loaded,Rural
