competencia_cnes,regiao_aps,uf_sigla,estado_nome,municipio_nome_aps,ibge_municipio,aps_populacao,qt_esf,qt_eap_20hs,qt_eap_30hs,qt_ecr,qt_cadastro_ecr,qt_eapp_20hs,qt_cadastro_eapp_20hs,qt_eapp_30hs,qt_cadastro_eapp_30hs,qt_esfr,qt_cadastro_esfr,qt_cadastros_ecr_eapp,aps_capacidade_equipe,cobertura_aps_pct,municipio_key
01/2021,SUDESTE,MG,MINAS GERAIS,PARAGUAÇU,314720,21605.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17500.0,80.99,paraguacu
01/2021,SUDESTE,MG,MINAS GERAIS,PARAISÓPOLIS,314730,21221.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17500.0,82.46,paraisopolis
01/2021,SUDESTE,MG,MINAS GERAIS,PARAOPEBA,314740,24700.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17500.0,70.85,paraopeba
01/2021,SUDESTE,MG,MINAS GERAIS,PASSA QUATRO,314760,16393.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21000.0,128.1,passa_quatro
01/2021,SUDESTE,MG,MINAS GERAIS,PASSA TEMPO,314770,8057.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14000.0,173.76,passa_tempo
01/2021,SUDESTE,MG,MINAS GERAIS,PASSA VINTE,314780,2031.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3500.0,172.32,passa_vinte
01/2021,SUDESTE,MG,MINAS GERAIS,PASSABÉM,314750,1633.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3500.0,214.32,passabem
01/2021,SUDESTE,MG,MINAS GERAIS,PASSOS,314790,115337.0,23.0,0.0,0.0,1.0,3500.0,0.0,0.0,0.0,0.0,0.0,0.0,3500.0,84000.0,72.83,passos
01/2021,SUDESTE,MG,MINAS GERAIS,PATIS,314795,6002.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10500.0,174.94,patis
01/2021,SUDESTE,MG,MINAS GERAIS,PATOS DE MINAS,314800,153585.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,140000.0,91.15,patos_de_minas
01/2021,SUDESTE,MG,MINAS GERAIS,PATROCÍNIO,314810,91449.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73500.0,80.37,patrocinio
01/2021,SUDESTE,MG,MINAS GERAIS,PATROCÍNIO DO MURIAÉ,314820,5715.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10500.0,183.72,patrocinio_do_muriae
01/2021,SUDESTE,MG,MINAS GERAIS,PAULA CÂNDIDO,314830,9584.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17500.0,182.59,paula_candido
01/2021,SUDESTE,MG,MINAS GERAIS,PAULISTAS,314840,4812.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7000.0,145.46,paulistas
01/2021,SUDESTE,MG,MINAS GERAIS,PAVÃO,314850,8419.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10500.0,124.71,pavao
01/2021,SUDESTE,MG,MINAS GERAIS,PEÇANHA,314860,17537.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24500.0,139.7,pecanha
01/2021,SUDESTE,MG,MINAS GERAIS,PEDRA AZUL,314870,24329.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31500.0,129.47,pedra_azul
01/2021,SUDESTE,MG,MINAS GERAIS,PEDRA BONITA,314875,7128.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10500.0,147.3,pedra_bonita
01/2021,SUDESTE,MG,MINAS GERAIS,PEDRA DO ANTA,314880,3005.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7000.0,232.94,pedra_do_anta
01/2021,SUDESTE,MG,MINAS GERAIS,PEDRA DO INDAIÁ,314890,3974.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7000.0,176.14,pedra_do_indaia
01/2021,SUDESTE,MG,MINAS GERAIS,PEDRA DOURADA,314900,2532.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3500.0,138.23,pedra_dourada
01/2021,SUDESTE,MG,MINAS GERAIS,PEDRALVA,314910,11146.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14000.0,125.6,pedralva
01/2021,SUDESTE,MG,MINAS GERAIS,PEDRAS DE MARIA DA CRUZ,314915,12212.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17500.0,143.3,pedras_de_maria_da_cruz
01/2021,SUDESTE,MG,MINAS GERAIS,PEDRINÓPOLIS,314920,3643.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3500.0,96.07,pedrinopolis
01/2021,SUDESTE,MG,MINAS GERAIS,PEDRO LEOPOLDO,314930,64712.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49000.0,75.72,pedro_leopoldo
01/2021,SUDESTE,MG,MINAS GERAIS,PEDRO TEIXEIRA,314940,1806.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3500.0,193.79,pedro_teixeira
01/2021,SUDESTE,MG,MINAS GERAIS,PEQUERI,314950,3330.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3500.0,105.1,pequeri
