ibge_municipio_7,phase5_population_origins,phase5_origin_granularity,phase5_origin_population,phase5_population_covered_by_distances,phase5_population_origin_coverage_ratio,phase5_distance_coverage_ratio,phase5_weighted_mean_ubs_km,phase5_weighted_p50_ubs_km,phase5_weighted_p90_ubs_km,phase5_weighted_mean_pharmacy_km,phase5_weighted_p50_pharmacy_km,phase5_weighted_p90_pharmacy_km,phase5_population_share_ubs_gt_5km,phase5_population_share_pharmacy_le_2km,phase5_population_share_hard_ubs_easy_pharmacy,phase5_population_per_active_ubs,phase5_population_per_physician_fte,phase5_population_per_pfpb_pharmacy,phase5_precision_status,phase5_access_evidence_grade
2502508,1,municipality_single_origin,17598.0,17598.0,1.0,1.0,0.1445052511973153,0.1445052511973153,0.1445052511973153,0.6178277075772618,0.6178277075772618,0.6178277075772618,0.0,1.0,0.0,1759.8,1759.8,3519.6,municipal_single_origin_proxy_not_intramunicipal,B2_municipal_population_proxy
2502607,1,municipality_single_origin,5648.0,5648.0,1.0,1.0,0.08926850644999115,0.08926850644999115,0.08926850644999115,18.594100357765168,18.594100357765168,18.594100357765168,0.0,0.0,0.0,1129.6,1882.6666666666667,5648.0,municipal_single_origin_proxy_not_intramunicipal,B2_municipal_population_proxy
2502706,1,municipality_single_origin,4214.0,4214.0,1.0,1.0,2.9416175729113494,2.9416175729113494,2.9416175729113494,27.66572863671712,27.66572863671712,27.66572863671712,0.0,0.0,0.0,2107.0,2107.0,4214.0,municipal_single_origin_proxy_not_intramunicipal,B2_municipal_population_proxy
2502805,1,municipality_single_origin,13613.0,13613.0,1.0,1.0,0.07636326162127523,0.07636326162127523,0.07636326162127523,18.557038422100682,18.557038422100682,18.557038422100682,0.0,0.0,0.0,2268.8333333333335,2094.3076923076924,13613.0,municipal_single_origin_proxy_not_intramunicipal,B2_municipal_population_proxy
2502904,1,municipality_single_origin,5742.0,5742.0,1.0,1.0,0.3177858021287729,0.3177858021287729,0.3177858021287729,9.747431349619381,9.747431349619381,9.747431349619381,0.0,0.0,0.0,1914.0,1435.5,1914.0,municipal_single_origin_proxy_not_intramunicipal,B2_municipal_population_proxy
2503001,1,municipality_single_origin,21193.0,21193.0,1.0,1.0,0.22301218027493708,0.2230121802749371,0.2230121802749371,9.924103316535131,9.924103316535131,9.924103316535131,0.0,0.0,0.0,1926.6363636363637,1826.9827586206898,10596.5,municipal_single_origin_proxy_not_intramunicipal,B2_municipal_population_proxy
2503100,1,municipality_single_origin,5335.0,5335.0,1.0,1.0,0.6342029422893056,0.6342029422893056,0.6342029422893056,16.709578880119327,16.709578880119327,16.709578880119327,0.0,0.0,0.0,1333.75,1778.3333333333333,5335.0,municipal_single_origin_proxy_not_intramunicipal,B2_municipal_population_proxy
2503209,1,municipality_single_origin,66519.0,66519.0,1.0,1.0,5.222064841197259,5.222064841197259,5.222064841197259,7.621422879871705,7.621422879871705,7.621422879871705,1.0,0.0,0.0,2892.1304347826085,1952.1349963316213,11086.5,municipal_single_origin_proxy_not_intramunicipal,B2_municipal_population_proxy
2503308,1,municipality_single_origin,9151.0,9151.0,1.0,1.0,0.3090132160787267,0.3090132160787267,0.3090132160787267,0.1324161749899178,0.1324161749899178,0.1324161749899178,0.0,1.0,0.0,1525.1666666666667,1663.8181818181818,4575.5,municipal_single_origin_proxy_not_intramunicipal,B2_municipal_population_proxy
2503407,1,municipality_single_origin,3291.0,3291.0,1.0,1.0,0.02281665317054906,0.02281665317054906,0.02281665317054906,11.866829695509091,11.86682969550909,11.86682969550909,0.0,0.0,0.0,822.75,1645.5,1645.5,municipal_single_origin_proxy_not_intramunicipal,B2_municipal_population_proxy
2503506,1,municipality_single_origin,16064.0,16064.0,1.0,1.0,0.10112800847349868,0.10112800847349868,0.10112800847349868,0.11415110056822467,0.11415110056822467,0.11415110056822467,0.0,1.0,0.0,2008.0,2215.7241379310344,8032.0,municipal_single_origin_proxy_not_intramunicipal,B2_municipal_population_proxy
2503555,1,municipality_single_origin,7223.0,7223.0,1.0,1.0,0.0999047606327531,0.0999047606327531,0.0999047606327531,6.019392619385008,6.019392619385008,6.019392619385008,0.0,0.0,0.0,1805.75,844.7953216374268,7223.0,municipal_single_origin_proxy_not_intramunicipal,B2_municipal_population_proxy
2503605,1,municipality_single_origin,6602.0,6602.0,1.0,1.0,0.02881808605536,0.028818086055359998,0.028818086055359998,14.971990779553318,14.971990779553318,14.971990779553318,0.0,0.0,0.0,1320.4,1650.5,6602.0,municipal_single_origin_proxy_not_intramunicipal,B2_municipal_population_proxy
