ibge_municipio,ibge_municipio_7,municipio_nome_ibge,uf_sigla,phase2_eligibility,phase2_mc_score_median,phase2_mc_rank_median,phase2_mc_rank_p05,phase2_mc_rank_p95,phase2_mc_probability_top_decile
430160,4301602,Bagé,RS,eligible_phase2_geodesic_proxy,78.24838256835938,56.0,41.0,87.0,1.0
320500,3205002,Serra,ES,eligible_phase2_geodesic_proxy,78.32720184326172,56.0,42.0,89.0,1.0
410480,4104808,Cascavel,PR,eligible_phase2_geodesic_proxy,77.99232482910156,58.0,33.0,110.0,1.0
354780,3547809,Santo André,SP,eligible_phase2_geodesic_proxy,78.16392517089844,58.0,33.0,103.05000305175781,1.0
355400,3554003,Tatuí,SP,eligible_phase2_geodesic_proxy,77.91346740722656,59.0,45.0,95.0,1.0
351620,3516200,Franca,SP,eligible_phase2_geodesic_proxy,78.20772552490234,59.0,15.0,146.0500030517578,1.0
350550,3505500,Barretos,SP,eligible_phase2_geodesic_proxy,77.97571563720703,60.0,46.0,89.0,1.0
431340,4313409,Novo Hamburgo,RS,eligible_phase2_geodesic_proxy,77.79527282714844,62.0,50.0,92.05000305175781,1.0
430210,4302105,Bento Gonçalves,RS,eligible_phase2_geodesic_proxy,77.59184265136719,65.0,34.0,118.0,1.0
431410,4314100,Passo Fundo,RS,eligible_phase2_geodesic_proxy,77.65188598632812,65.0,41.0,105.0,1.0
350530,3505302,Barra Bonita,SP,eligible_phase2_geodesic_proxy,77.62120056152344,66.0,25.0,132.0,1.0
313420,3134202,Ituiutaba,MG,eligible_phase2_geodesic_proxy,77.69996643066406,66.0,52.0,90.0,1.0
431080,4310801,Ivoti,RS,eligible_phase2_geodesic_proxy,77.57379150390625,66.0,19.0,148.0500030517578,1.0
350760,3507605,Bragança Paulista,SP,eligible_phase2_geodesic_proxy,77.56098175048828,67.0,59.0,84.0,1.0
410765,4107652,Fazenda Rio Grande,PR,eligible_phase2_geodesic_proxy,77.66148376464844,68.0,48.0,103.05000305175781,1.0
211130,2111300,São Luís,MA,eligible_phase2_geodesic_proxy,77.60224914550781,68.0,21.0,165.0,1.0
350700,3507001,Boituva,SP,eligible_phase2_geodesic_proxy,77.4381103515625,69.0,62.0,82.0,1.0
411520,4115200,Maringá,PR,eligible_phase2_geodesic_proxy,77.27881622314453,69.5,38.0,121.0,1.0
330020,3300209,ARARUAMA,RJ,eligible_phase2_geodesic_proxy,77.46640014648438,70.0,50.0,93.0,1.0
311860,3118601,Contagem,MG,eligible_phase2_geodesic_proxy,77.08895111083984,72.0,47.0,102.0,1.0
354870,3548708,São Bernardo do Campo,SP,eligible_phase2_geodesic_proxy,77.06732177734375,72.0,41.0,135.0,1.0
351040,3510401,Capivari,SP,eligible_phase2_geodesic_proxy,77.03838348388672,73.0,40.0,117.05000305175781,1.0
330070,3300704,Cabo Frio,RJ,eligible_phase2_geodesic_proxy,76.99107360839844,74.0,32.95000076293945,159.0,1.0
430463,4304630,Capão da Canoa,RS,eligible_phase2_geodesic_proxy,76.74404907226562,76.0,47.0,117.05000305175781,1.0
355370,3553708,Taquaritinga,SP,eligible_phase2_geodesic_proxy,76.60145568847656,77.0,29.0,156.0500030517578,1.0
352390,3523909,Itu,SP,eligible_phase2_geodesic_proxy,76.76426696777344,77.0,51.0,117.0999984741211,1.0
355220,3552205,Sorocaba,SP,eligible_phase2_geodesic_proxy,76.58564758300781,77.0,45.0,127.05000305175781,1.0
353060,3530607,Mogi das Cruzes,SP,eligible_phase2_geodesic_proxy,76.68940734863281,78.0,49.0,123.0,1.0
431870,4318705,São Leopoldo,RS,eligible_phase2_geodesic_proxy,76.33113098144531,80.0,53.0,113.0,1.0
330330,3303302,Niterói,RJ,eligible_phase2_geodesic_proxy,76.3406982421875,80.0,59.0,113.0,1.0
520800,5208004,Formosa,GO,eligible_phase2_geodesic_proxy,76.34855651855469,81.0,61.0,103.05000305175781,1.0
330490,3304904,São Gonçalo,RJ,eligible_phase2_geodesic_proxy,76.42694091796875,81.0,62.0,117.0,1.0
420200,4202008,Balneário Camboriú,SC,eligible_phase2_geodesic_proxy,76.07298278808594,84.0,65.0,111.0,1.0
352670,3526704,Leme,SP,eligible_phase2_geodesic_proxy,76.04480743408203,85.0,66.0,113.05000305175781,1.0
310620,3106200,Belo Horizonte,MG,eligible_phase2_geodesic_proxy,75.92741394042969,86.0,55.0,129.0,1.0
351340,3513405,Cruzeiro,SP,eligible_phase2_geodesic_proxy,75.69914245605469,89.0,66.0,137.0,1.0
430470,4304705,Carazinho,RS,eligible_phase2_geodesic_proxy,75.5920639038086,90.0,50.0,150.0,1.0
330350,3303500,Nova Iguaçu,RJ,eligible_phase2_geodesic_proxy,75.30989074707031,93.0,52.0,170.0,1.0
354990,3549904,São José dos Campos,SP,eligible_phase2_geodesic_proxy,75.1119155883789,93.5,54.0,146.0,1.0
313380,3133808,Itaúna,MG,eligible_phase2_geodesic_proxy,75.16924285888672,94.0,62.0,136.0,1.0
317070,3170701,Varginha,MG,eligible_phase2_geodesic_proxy,75.2378158569336,94.0,83.0,112.0,1.0
520025,5200258,Águas Lindas de Goiás,GO,eligible_phase2_geodesic_proxy,74.87045288085938,95.0,50.0,154.0,1.0
354940,3549409,São Joaquim da Barra,SP,eligible_phase2_geodesic_proxy,74.89935302734375,97.0,58.0,149.0,1.0
270430,2704302,Maceió,AL,eligible_phase2_geodesic_proxy,74.88774108886719,98.0,51.0,182.0500030517578,1.0
432240,4322400,Uruguaiana,RS,eligible_phase2_geodesic_proxy,74.67793273925781,100.0,88.0,126.0,1.0
353070,3530706,Mogi Guaçu,SP,eligible_phase2_geodesic_proxy,74.50698852539062,100.0,69.0,141.0,1.0
500270,5002704,Campo Grande,MS,eligible_phase2_geodesic_proxy,74.70361328125,101.0,76.0,153.0,1.0
430860,4308607,Garibaldi,RS,eligible_phase2_geodesic_proxy,74.59166717529297,101.0,90.0,126.05000305175781,1.0
410370,4103701,Cambé,PR,eligible_phase2_geodesic_proxy,74.70986938476562,102.0,63.0,143.0500030517578,1.0
500370,5003702,Dourados,MS,eligible_phase2_geodesic_proxy,74.65957641601562,102.0,92.0,114.05000305175781,1.0
330390,3303906,Petrópolis,RJ,eligible_phase2_geodesic_proxy,74.42430114746094,103.0,94.0,126.0,1.0
430930,4309308,Guaíba,RS,eligible_phase2_geodesic_proxy,73.97361755371094,106.0,73.0,156.0,1.0
353440,3534401,Osasco,SP,eligible_phase2_geodesic_proxy,74.38162231445312,106.0,40.0,218.0,1.0
350400,3504008,Assis,SP,eligible_phase2_geodesic_proxy,74.26438903808594,107.0,75.0,142.0500030517578,1.0
330510,3305109,São João de Meriti,RJ,eligible_phase2_geodesic_proxy,74.36366271972656,107.0,56.0,194.0500030517578,1.0
352720,3527207,Lorena,SP,eligible_phase2_geodesic_proxy,74.24864959716797,107.0,93.0,139.0,1.0
421190,4211900,Palhoça,SC,eligible_phase2_geodesic_proxy,73.61839294433594,110.0,54.0,186.0500030517578,1.0
354330,3543303,Ribeirão Pires,SP,eligible_phase2_geodesic_proxy,73.62235260009766,111.0,72.0,166.0500030517578,1.0
352310,3523107,Itaquaquecetuba,SP,eligible_phase2_geodesic_proxy,74.08155822753906,111.0,28.0,252.0500030517578,1.0
522140,5221403,Trindade,GO,eligible_phase2_geodesic_proxy,73.37666320800781,116.0,111.0,136.0,1.0
412710,4127106,Telêmaco Borba,PR,eligible_phase2_geodesic_proxy,73.04141998291016,117.0,89.0,163.0500030517578,1.0
310560,3105608,Barbacena,MG,eligible_phase2_geodesic_proxy,73.00137329101562,119.0,73.0,177.0,1.0
330520,3305208,São Pedro da Aldeia,RJ,eligible_phase2_geodesic_proxy,73.14076232910156,119.0,89.0,181.0,1.0
330185,3301850,GUAPIMIRIM,RJ,eligible_phase2_geodesic_proxy,73.08189392089844,120.0,70.0,186.0,1.0
330455,3304557,Rio de Janeiro,RJ,eligible_phase2_geodesic_proxy,72.6773452758789,122.0,80.0,183.0,1.0
411570,4115705,Matinhos,PR,eligible_phase2_geodesic_proxy,72.27830505371094,126.0,87.94999694824219,181.0,1.0
351860,3518602,Guariba,SP,eligible_phase2_geodesic_proxy,72.25098419189453,127.0,91.94999694824219,180.0,1.0
350610,3506102,Bebedouro,SP,eligible_phase2_geodesic_proxy,72.3590316772461,127.0,71.94999694824219,198.0,1.0
353780,3537800,Piedade,SP,eligible_phase2_geodesic_proxy,72.31037902832031,128.0,105.0,178.0,1.0
411915,4119152,Pinhais,PR,eligible_phase2_geodesic_proxy,72.15548706054688,128.0,91.0,188.0,1.0
355100,3551009,São Vicente,SP,eligible_phase2_geodesic_proxy,72.63163757324219,129.0,46.0,269.0,1.0
350950,3509502,Campinas,SP,eligible_phase2_geodesic_proxy,72.05400085449219,130.0,74.0,202.0,1.0
430790,4307906,Farroupilha,RS,eligible_phase2_geodesic_proxy,72.28335571289062,130.0,101.0,161.0,1.0
350960,3509601,Campo Limpo Paulista,SP,eligible_phase2_geodesic_proxy,72.06765747070312,131.0,123.0,158.0,1.0
260410,2604106,Caruaru,PE,eligible_phase2_geodesic_proxy,72.234375,131.0,104.0,189.0500030517578,1.0
314800,3148004,Patos de Minas,MG,eligible_phase2_geodesic_proxy,71.97698974609375,131.0,91.0,195.0,1.0
521190,5211909,Jataí,GO,eligible_phase2_geodesic_proxy,72.00418853759766,132.0,119.0,162.0,1.0
351380,3513801,Diadema,SP,eligible_phase2_geodesic_proxy,72.14285278320312,133.0,113.0,181.0,1.0
350450,3504503,Avaré,SP,eligible_phase2_geodesic_proxy,71.80674743652344,134.0,98.0,187.0,1.0
430060,4300604,Alvorada,RS,eligible_phase2_geodesic_proxy,71.81605529785156,134.5,111.0,178.0,1.0
353430,3534302,Orlândia,SP,eligible_phase2_geodesic_proxy,71.5075912475586,138.0,117.0,172.0500030517578,1.0
431750,4317509,Santo Ângelo,RS,eligible_phase2_geodesic_proxy,71.50344848632812,138.0,87.0,214.0,1.0
315250,3152501,Pouso Alegre,MG,eligible_phase2_geodesic_proxy,71.51968383789062,138.0,101.0,192.0,1.0
351050,3510500,Caraguatatuba,SP,eligible_phase2_geodesic_proxy,71.51117706298828,139.0,119.94999694824219,173.0,1.0
410465,4104659,Carambeí,PR,eligible_phase2_geodesic_proxy,71.33253479003906,139.0,93.0,204.0500030517578,1.0
350115,3501152,Alumínio,SP,eligible_phase2_geodesic_proxy,71.42105102539062,141.0,125.0,165.0,1.0
