ibge_municipio_7,municipio_nome_ibge_seat,uf_sigla_ibge_seat,seat_latitude,seat_longitude,seat_category,seat_subcategory
1300102,Anori,AM,-3.7486,-61.66,Cidade,Sede Municipal
1300144,Apuí,AM,-7.2034,-59.8844,Cidade,Sede Municipal
1300201,Atalaia do Norte,AM,-4.3649,-70.1911,Cidade,Sede Municipal
1300300,Autazes,AM,-3.5822,-59.13,Cidade,Sede Municipal
1300409,Barcelos,AM,-0.9692,-62.9264,Cidade,Sede Municipal
1300508,Barreirinha,AM,-2.7927,-57.0709,Cidade,Sede Municipal
1300607,Benjamin Constant,AM,-4.3819,-70.0246,Cidade,Sede Municipal
1300631,Beruri,AM,-3.898,-61.3752,Cidade,Sede Municipal
1300680,Boa Vista do Ramos,AM,-2.9704,-57.5884,Cidade,Sede Municipal
1300706,Boca do Acre,AM,-8.7724,-67.336,Cidade,Sede Municipal
1300805,Borba,AM,-4.3945,-59.589,Cidade,Sede Municipal
1300839,Caapiranga,AM,-3.3268,-61.2134,Cidade,Sede Municipal
1300904,Canutama,AM,-6.5328,-64.3872,Cidade,Sede Municipal
1301001,Carauari,AM,-4.8781,-66.8972,Cidade,Sede Municipal
1301100,Careiro,AM,-3.8239,-60.3627,Cidade,Sede Municipal
1301159,Careiro da Várzea,AM,-3.1988,-59.825,Cidade,Sede Municipal
1301209,Coari,AM,-4.0861,-63.1426,Cidade,Sede Municipal
1301308,Codajás,AM,-3.8387,-62.0596,Cidade,Sede Municipal
1301407,Eirunepé,AM,-6.6678,-69.865,Cidade,Sede Municipal
1301506,Envira,AM,-7.4363,-70.0233,Cidade,Sede Municipal
1301605,Fonte Boa,AM,-2.515,-66.104,Cidade,Sede Municipal
1301654,Guajará,AM,-7.5484,-72.5888,Cidade,Sede Municipal
1301704,Humaitá,AM,-7.5068,-63.0217,Cidade,Sede Municipal
1301803,Ipixuna,AM,-7.0522,-71.693,Cidade,Sede Municipal
1301852,Iranduba,AM,-3.28,-60.1847,Cidade,Sede Municipal
1301902,Itacoatiara,AM,-3.146,-58.4474,Cidade,Sede Municipal
1301951,Itamarati,AM,-6.4399,-68.246,Cidade,Sede Municipal
1302009,Itapiranga,AM,-2.7495,-58.022,Cidade,Sede Municipal
1302108,Japurá,AM,-1.8792,-66.998,Cidade,Sede Municipal
1302207,Juruá,AM,-3.4731,-66.0645,Cidade,Sede Municipal
1302306,Jutaí,AM,-2.7425,-66.7687,Cidade,Sede Municipal
1302405,Lábrea,AM,-7.2656,-64.7962,Cidade,Sede Municipal
1302504,Manacapuru,AM,-3.302,-60.6208,Cidade,Sede Municipal
1302553,Manaquiri,AM,-3.4297,-60.4594,Cidade,Sede Municipal
1302603,Manaus,AM,-3.0922,-60.0604,Cidade,Sede Municipal
1302702,Manicoré,AM,-7.9257,-61.5645,Cidade,Sede Municipal
1302801,Maraã,AM,-1.8604,-65.5913,Cidade,Sede Municipal
1302900,Maués,AM,-3.3959,-57.7187,Cidade,Sede Municipal
