osm_feature_id,osm_type,osm_id,name,operator,brand,latitude,longitude,source,valid_coordinates
node/5323871953,node,5323871953,,,,-15.8643572,-48.0794687,OpenStreetMap amenity=pharmacy,True
node/5323977221,node,5323977221,Santa Marta Medicamentos e Cosméticos,,,-28.6028363,-48.815857,OpenStreetMap amenity=pharmacy,True
node/5324643226,node,5324643226,SuFarma,,,-25.5687962,-52.0514164,OpenStreetMap amenity=pharmacy,True
node/5325560520,node,5325560520,Boa Farma,,,-13.0057625,-38.459717,OpenStreetMap amenity=pharmacy,True
node/5325562034,node,5325562034,Farmácia Preço Popular,,,-13.0077335,-38.4626826,OpenStreetMap amenity=pharmacy,True
node/5325562041,node,5325562041,Farmácia do Trabalhador Brasileiro,,,-13.0083291,-38.4635232,OpenStreetMap amenity=pharmacy,True
node/5325562044,node,5325562044,Farmácia Ultraeconômica,,,-13.0085951,-38.4639568,OpenStreetMap amenity=pharmacy,True
node/5326072783,node,5326072783,Farmácia do Garcia,,,-12.9917391,-38.5176932,OpenStreetMap amenity=pharmacy,True
node/5326828471,node,5326828471,Farma Conde,,Farma Conde,-23.6221107,-46.6401881,OpenStreetMap amenity=pharmacy,True
node/5329777061,node,5329777061,,,,-16.7584991,-49.2753322,OpenStreetMap amenity=pharmacy,True
node/5329778311,node,5329778311,Drogaria Cavalcante,,,-12.9625559,-38.6080919,OpenStreetMap amenity=pharmacy,True
node/5330230327,node,5330230327,Amora,,,-12.9962851,-38.4651237,OpenStreetMap amenity=pharmacy,True
node/5330237821,node,5330237821,Drogasil,,Drogasil,-13.0068969,-38.4605646,OpenStreetMap amenity=pharmacy,True
node/5330851878,node,5330851878,Farmalene,,,-7.9323065,-34.8570855,OpenStreetMap amenity=pharmacy,True
node/5330851885,node,5330851885,Farmácia Alvorecer do Trabalhador,,,-7.9303009,-34.855026,OpenStreetMap amenity=pharmacy,True
node/5333438770,node,5333438770,São João,,São João,-29.16744,-51.5048263,OpenStreetMap amenity=pharmacy,True
node/5333551864,node,5333551864,UniFarma,,,-6.2001577,-35.8014837,OpenStreetMap amenity=pharmacy,True
